name,writer,translator,nasher,sku,price,pages,year_shamsi,year_miladi,nobat,ghat,jeld,description,category
استراتژی های معاملات سهام (بورس),تیلر یامازاکی,محمدرضا ترابیان اصفهانی،,گیوا,978-6223660955,199000,186.0,1403.0,2021.0,1.0,رقعی,شومیز,مارک ساموئل یک مربی و مشاور در حوزه کسب‌وکار می‌باشد.,مالی
بازی گوش بازی ساز,مازن حریری,نامشخص,گیوا,978-6223662119,599000,401.0,1403.0,,1.0,رقعی,شومیز,کاوه فراهانی نویسنده ایرانی متولد سال 1367 می‌باشد.,مالی
تامین مالی شرکت ها,محمد اشرفی پور,امیرحسین صادقی،,آریانا قلم,‫‭978-6227089417‬‬,370800,400.0,1403.0,2013.0,1.0,رقعی,شومیز,"کتاب مهم‌ترین مسائل یک سرمایه‌گذار دربارۀ «جنبۀ انسانی سرمایه‌گذاری» است. این کتاب روی تحلیل‌های مالی یا نظریات سرمایه‌گذاری تمرکز نمی‌کند، بلکه بیشتر به چگونه اندیشیدن و چگونه برخورد کردن با تأثیرات روانشناختی‌ای می‌پردازد که تفکر سرمایه‌گذاران را دچار اختلال می‌کند.
همانطور که نویسندۀ‌ این کتاب اشاره می‌کند برای موفقیت در سرمایه‌گذاری نسخه‌ای قطعی، دستورالعملی گام‌به‌گام یا فرمولی برای ارزش‌گذاری شامل مقادیر ثابت ریاضی یا نسبت‌های معین وجود ندارد که با گذاشتن چند عدد در آن به نتیجۀ دلخواه برسید. بلکه صرفا داشتن طرز فکری خاص است که ممکن است به شما در اتخاذ تصمیمات مناسب کمک کند و، احتمالا مهم‌تر از آن، مانع از افتادنتان در دام‌هایی شود که افراد زیادی را گرفتار خود کرده است. برای همین او تلاش می‌کند تا در این کتاب روش‌های چگونه اندیشیدن دربارۀ سرمایه‌گذاری را با شما به اشتراک بگذارد.
کتاب «مهم‌ترین مسائل یک سرمایه‌گذار» بر مبنای یادداشت‌های هاوارد مارکس، سرمایه‌گذار و نویسندۀ آمریکایی گردآوری شده و حاصل تجربیات موفق او در حوزۀ سرمایه‌گذاری در بازارهای مختلف سهام است. وجه تمایز این کتاب پایبندی به راهکارهایی است که با خرد متعارف سرمایه‌گذاران هم‌خوانی ندارد و عملا از دید آنان نادرست تلقی می‌شود. اما رعایت همین رویکرد باعث شده است شرکت سرمایه‌گذاری او به موفقیت‌های بلندمدت و پایدار دست یابد.
او در این کتاب به 20 اصل مهم و زیربنایی سرمایه‌گذاری اشاره می‌کند که همگی حاصل تجربیات و یادداشت‌های شخصی در مدت 30 سال فعالیت اوست. در ویراست جدید کتاب نکات و حاشیه‌های 4 تن از سرمایه‌گذاران و اساتید برتر رشته مالی به کتاب افزوده شده و کتاب را خواندنی‌تر کرده است.
کتاب به مسائلی مثل بازار و محیطی که در آن سرمایه‌گذاری اتفاق می‌افتد، مسائل روانشناختی سرمایه‌گذاران، عواملی که در موفق شدن یا نشدن سرمایه‌گذاری آنان تأثیر می‌گذارد، دربارۀ‌ ریسک و نحوۀ ‌محدودکردن آن، بازدهی سرمایه‌گذاری و… اشاره کرده است.",مالی
تفکر طراحی برای راهبرد نوآوری رقابتی,کلود دیدریچ,محمدجواد ایروانی،,دانشگاه تهران,978-9640303818,799110,683.0,1403.0,2012.0,1.0,وزیری,شومیز,جوانا لجروود یک بانکدار تجاری سابق با تخصص در شمول مالی، توسعه سیستم‌های بازار، توانمندسازی اقتصادی زنان و جنسیت، اصلاحات در سیاست‌گذاری و نظارتی، حاکمیت، نظارت و ارزیابی، و مدیریت دانش است.,مالی
بازاریابی پیامکی یا معجزه کسب وکارها,محمدمهدی پیروزمحمدی,پیام مقیم اسلام،,کلکین,‫‬‬‭978-6225867338,120000,120.0,1403.0,2024.0,1.0,رقعی,شومیز,رندی پل گیج (زاده 6 6 آوریل 1959) نویسنده و گوینده انگیزشی آمریکایی است. وی به دلیل نوشتن کتابهای خودیاری و سخنرانی در مورد موفقیت و سعادت شناخته شده است. گیج توسط مادرش متولد و بزرگ شده است. وی پس از اتهام سرقت مسلحانه در سن 15 سالگی به منظور تأمین بودجه معامله مواد مخدر، را از دبیرستان مدیسون غربی اخراج شد و مدتی در زندان نوجوان مشغول خدمت بود. در سال 1975 با مشروط آزاد شد، وی به میامی، فلوریدا نقل مکان کرد و به عنوان ظرفشور در خانه پنکیک با حداقل دستمزد کار کرد و در سن 16 سالگی به عنوان مدیر تبدیل شد. در 30 سالگی رستوران پیتزای دوم خود را افتتاح کرد، اما پس از عدم موفقیت، بدهی شدیدی به جای خود گذاشت. گیج اکنون در سن دیگو، کالیفرنیا زندگی می کند و پس از زندگی در کلان شهر میامی فلوریدا تا سال 2013 زندگی می کند. پس از تیراندازی در میامی در سال 2000، گیج سخنگوی نیکوکار و فعال / پشتیبان پروژه شاون دوپرون است.,مالی
بازاریابی رفتاری,نانسی هارهات,نامشخص,ادیبان روز,978-6227592979,105000,106.0,1403.0,,1.0,رقعی,شومیز,"بازاریابی پیامکی یکی از سریع‌ترین روش‌های مارکتینگ محسوب می‌شود و ویژگی‌های منحصر به فردی دارد. پیامک‌های تبلیغاتی اکنون جایگاه مستحکمی پیدا کرده و بسیاری از بیزنس‌های کوچک و بزرگ از آن استفاده می‌کنند.
امروزه اغلب کسب‌وکارهای بزرگ به طور دائمی از تکنیک اس‌ام‌اس مارکتینگ استفاده می‌کنند و هدف نهایی آن‌ها تبلیغات، فروش محصولات، تعامل با مشتریان است.
کتاب بازاریابی پیامکی یا معجزه‌ی کسب‌وکارها به شما کمک خواهد کرد تا در فضای رقابتی امروزی، با استفاده از این کانال قدرتمند، به جذب و نگهداری مشتریان بپردازید.
بازاریابی پیامکی به زبانی ساده و روان،‌ به بررسی ابعاد مختلف بازاریابی پیامکی می‌پردازد و راهکارهای عملی و کاربردی برای استفاده از این ابزار قدرتمند ارائه می‌دهد تا به‌عنوان یک فعال بازاریابی حرفه‌ای، به جامعه کسب‌وکارها ارزش افزوده ارائه دهید.",مالی
تماس های میلیاردی,بهزاد استقامت,زهرا یوسفی نیا،,شاهدخت پاییز,‫‭978-6225986886‬,91000,104.0,1403.0,2015.0,1.0,رقعی,شومیز,یوان بایاچی به دلیل کار خود در زمینه روانشناسی تجارت و خودپروری مرتبط با تجارت شناخته شده است.او بنیانگذار وبلاگ روانشناسی تجاری محبوب Trading Composure است.,مالی
معجزه سوال در فروش بیمه های عمر,وحید قوجه زاده,نازلی نصرالهی،,اژدهای طلایی,978-6228270043,164500,220.0,1403.0,2007.0,1.0,رقعی,شومیز,در جلسه بازخورد آخرین روز کار در یک شرکت، اولین دلیلی که کارمندان برای استعفایشان ذکر می‌کنند «مدیرم» است. بیشتر مدیران نه تنها از این مشکل آشکار بی‌خبرند، بلکه به احتمال زیاد حتی اگر از آن آگاه شوند هم نمی‌دانند باید چه کاری برایش انجام دهند. روش‌های مدیریتی قدیمی مداخله‌گر و نظامی برای کارمندان امروزی موثر نیست زیرا آن‌ها بسیار مستقل و حرفه‌ای هستند و ایده‌های توسعه یافته‌ی خود را دارند. رهبران و مدیرانی که سعی می‌کنند چنین کارمندانی را مدیریت خرد کنند با نارضایتی گسترده، غیبت مداوم از کار و استعفای کارمندانشان مواجه می‌شوند و سطح اضطراب خود و کارمندانشان را بالا می‌برند.. در کتاب مدیر مداخله‌گر نباشیم، چندلر و بلک بینشی جدید را به تمام مدیران ارائه می‌دهند. این کتاب با داستان‌ها، مثال‌ها و فعالیت‌های پویا به هر مدیر تازه‌کار یا باسابقه‌ای نشان می‌دهد چطور به جای اینکه کارمندان را کنترل و وادار به انجام کار کند، آن‌ها را مربی‌گری و هدایت نماید. با این روش، توانایی‌های هر کارمند در فضای مشارکت و هدف‌گذاری متقابل مورد تقدیر قرار می‌گیرد و تقویت می‌شود. استیو چندلر مدیر مداخله‌گر نباشیم را مبتکرانه‌ترین اثرش تا به امروز می‌داند زیرا این کتاب بالاخره مشکل قدیمی مدیران را حل می‌کند: دریافت بهترین عملکرد از افراد بدون ایجاد ناکامی در خود و آن‌ها.,مالی
مدیریت مالی پیشرفته,حسن همتی,نامشخص,دیباگران تهران,978-6222188726,272000,228.0,1403.0,,1.0,وزیری,شومیز,"ارزیابی مالی و اقتصادی پروژه ها با نرم افزار کامفار- همراه راهنمای کاربردی در پروژه های کشاورزی:
در عصر حاضر، تجزیه و تحلیل و توجیه طرح‌های سرمایه‌­گذاری به یکی از ضرورت‌­های اصلی برای هر سرمایه‌­گذار و هر نوع کسب و کاری تبدیل شده است. تجزیه و تحلیل‌ها توسط نرم‌­افزارهای مختلفی انجام می‌شود که یکی از مهم‌ترین آنها، نرم‌­افزار قدرتمند کامفار COMFAR است.

نرم‌­افزار کامفار جهت امکان‌سنجی، تهیه، ارزیابی و تحلیل پروژه‌های اقتصادی تهیه و تدوین شده است. با بهره‌­مندی از این نرم‌­افزار می‌توان انواع طرح­‌های مختلف اعم از کشاورزی، صنعتی، زیرساخت، معدن و ... را در زمینۀ مالی به صورت جامع و کامل ارزیابی نمود.

بخش کشاورزی و زیربخش­‌های آن در کشورهای درحال­‌توسعه، به عنوان موتور اصلی برای رشد و توسعه اقتصادی شناخته می­‌شود و همواره یکی از بخش­‌های سودآور و مغفول بوده است. لذا مولفان کتاب حاضر با توجه به اهمیت بخش کشاورزی به ‌عنوان بخش تأمین‌کننده امنیت­ غذایی و نقش تعدیلگر آن در ارتباط با سایر بخش­­‌های دیگر، تمرکز اصلی را بر روی ارزیابی و تحلیل مالی- اقتصادی طرح‌­های کشاورزی گذاشتند. همچنین سایر مفاهیم پرکاربرد اقتصادی و مالی که در ارزیابی طرح‌­ها مورد نیاز است، تشریح شده است.

با توجه به خلأ موجود در تدوین و تألیف منابع مرتبط با ارزیابی­ طرح­‌های بخش کشاورزی، امید است تا خوانندگان و مدیران مالی از مطالعه کتاب حاضر نهایت بهره­‌مندی را داشته باشند.",مالی
حقوق تجارت,رضا شکری,نامشخص,اندیشه احسان,‫‬‮‭978-6225451933,399000,224.0,,,1.0,رقعی,شومیز,حمیدرضا شهیدی مولف ایرانی متولد سال 1363 می‌باشد.,مالی
بازاریابی خدمات مالی و مشتری مداری,سپیده عرب,نامشخص,چالش,978-6227775624,180000,205.0,1403.0,,1.0,وزیری,شومیز,"در دنیای امروز، بازاریابی و توسعه بازار به‌عنوان یکی از مهم‌ترین عوامل موفقیت کسب‌وکارها شناخته می‌شود. با پیشرفت فناوری و تغییرات سریع در رفتار مصرف‌کنندگان، شرکت‌ها نیازمند استراتژی‌های جدید و موثری هستند تا بتوانند در بازارهای پیچیده و رقابتی کنونی به‌خوبی عمل کنند. در این میان، بازارهای مالی و بازار سرمایه نقش حیاتی در تأمین منابع مالی و افزایش ارزش کسب‌وکارها ایفا می‌کنند. این کتاب با عنوان «بازاریابی مالی» به بررسی جامع و کاربردی این دو حوزه می‌پردازد و راهکارهایی برای موفقیت در هر دو بخش ارائه می‌دهد.
بازار ایران با ویژگی‌ها و چالش‌های خاص خود، نیازمند رویکردهای منحصربه‌فردی در بازاریابی و توسعه بازار است. این کتاب، به‌طور ویژه به تحلیل رفتار مصرف‌کننده و تحقیقات بازار در ایران می‌پردازد و اهمیت درک نیازها و ترجیحات مشتریان ایرانی را مورد بررسی قرار می‌دهد. همچنین، به بررسی فرصت‌ها و چالش‌های موجود در بازار سرمایه ایران و بورس اوراق بهادار تهران پرداخته شده و استراتژی‌های موفقیت در این بازارها ارائه می‌شود.
یکی از ویژگی‌های منحصربه‌فرد این کتاب، تمرکز بر بازار ایران و بررسی فرصت‌ها و چالش‌های موجود در این بازار است. در فصل‌های مختلف، به قدرت برند و طراحی لوگو، هنر تولید محتوا و بازاریابی محتوایی، رمزگشایی سئو و بهینه‌سازی موتورهای جستجو و تکنیک‌های فروش موفق پرداخته شده و همواره ارتباط این مباحث با شرایط ویژه بازار ایران مورد توجه قرار گرفته است. علاوه بر این، نقش حیاتی بازارهای مالی و بازار سرمایه در توسعه بازار و تأمین منابع مالی برای کسب‌وکارها نیز به تفصیل بررسی شده است. بازاریابی در بورس و بازار سرمایه ایران، یکی از محورهای اصلی این کتاب است. در این بخش‌ها، به استراتژی‌های موفقیت در جذب سرمایه‌گذاران، ایجاد اعتماد و شفافیت در بازار سرمایه و بهره‌برداری از فرصت‌های موجود در بورس ایران پرداخته شده است. با توجه به شرایط اقتصادی و قوانین و مقررات خاص کشور، این کتاب راهکارهایی عملی و مبتنی بر تجربیات واقعی برای موفقیت در بازارهای مالی ایران ارائه می‌دهد.",مالی
منبع جامع فروش,جفری گیتومر,پرویز درگی، ،,بازاریابی,978-6225459311,405000,424.0,1403.0,2022.0,1.0,رقعی,شومیز,کتاب «بازاریابی رفتاری» نوشته نانسی هارهات یک کتاب راهنما است که به بررسی این موضوع می‌پردازد که چگونه بازاریابان می‌توانند از اصول علوم رفتاری برای ارتقای استراتژی‌های خود و ایجاد تعامل با مصرف‌کننده استفاده کنند. کتاب با آموزش این اصول آغاز می شود. اصل اول بیزاری از دست دادن است، این ایده که مردم انگیزه بیشتری برای اجتناب از ضرر دارند تا به دست آوردن سود. بازاریابان می توانند از این اصل به گونه ای استفاده کنند که نشان دهد در صورت عدم اقدام مشتریان برای خرید چه چیزی را از دست خواهند داد. اصل بعدی اصل کمیابی است که منظور از آن ایجاد حس فوریت با تاکید بر محدود بودن یک محصول است. اصل دیگر در علوم رفتاری بیان می کند که مردم انتظار متقابل بودن اعمال را دارند. برای مثال افراد متمایل اند کار درستشان با کار درستی جبران شود. در حوزۀ بازاریابی، این اصل بدین نحو می تواند اجرا شود که فروشنده به مشتریان نمونه های رایگانی از محتوای ارزشمندی ارائه دهد. نمونه‌های متعددی از این اصول رفتاری در کتاب ذکر شده است. نکتۀ قابل توجه دربارۀ این کتاب این است که بسیار کاربردی است. نویسنده به طریق گام به گام و روان، طیف گسترده ای از فعالیت های بازاریابی را آموزش می دهد، مانند انحاء ارتباط گرفتن با مشتریان، کمپین‌های تبلیغاتی مختلف، بازاریابی در رسانه های مجازی و... . از طرف دیگر تمام این موارد با ارائۀ مطالعات موردی آموزش داده می شوند، نمونه‌های موفق متعددی از شرکت‌های بزرگی مانند اپل، اسپاتیفای و وال استریت ژورنال. این مثال‌ها نشان می‌دهند که چگونه اصول علوم رفتاری با موفقیت در عمل به کار گرفته شده‌اند و شواهد ملموسی از اثربخشی آن‌ها در اختیار خوانندگان قرار می‌دهند. همچنین هر فصل از کتاب شامل بخشی در مورد اشتباهات رایجی است که باید از آنها اجتناب کرد و به بازاریابان کمک می کند تا از دام هایی که می تواند تلاش های آنها را تضعیف کند دوری کنند. علاوه بر این، نویسنده نکات کلیدی را در پایان هر فصل ارائه می‌کند و مهم‌ترین نکات را به طور خلاصه در اختیار خوانندگان قرار می‌دهد.,مالی
معامله گری با پروفایل حجم,توماس بوکر,نامشخص,دیباگران تهران,978-6222188764,165750,102.0,1403.0,,1.0,وزیری,شومیز,"آیا به دنبال کسب سود در بازارهای مالی هستید؟ این کتاب راهنمای جامعی است برای علاقه‌مندان به معامله‌گری روزانه؛ از مبانی اولیه تا استراتژی‌های پیشرفته، همه چیز را در این کتاب خواهید یافت. نویسنده با سال‌ها تجربه در بازارهای مالی، به شما کمک می‌کند تا با روانشناسی معامله‌گری آشنا شوید، ریسک‌های خود را مدیریت کنید و تکنیک‌های حرفه‌ای معامله را بیاموزید.

در این کتاب می‌خوانید:
مبانی معامله‌گری روزانه: مفاهیم پایه، ابزارها و اصطلاحات مورد استفاده در این حوزه
روانشناسی معامله‌گری: چگونگی کنترل احساسات، مدیریت استرس و تصمیم‌گیری‌های منطقی
مدیریت ریسک: استراتژی‌های مختلف برای کاهش ریسک و حفاظت از سرمایه
تکنیک‌های معامله‌گری: تحلیل تکنیکال، الگوهای نموداری و استراتژی‌های ورود و خروج
اشتباهات رایج معامله‌گران: آشنایی با اشتباهاتی که باید از آن‌ها اجتناب کنید",مالی
در راه فتح,والدمار هکل,نامشخص,پازینه,978-6001801969,467500,502.0,1403.0,,1.0,وزیری,شومیز,نامشخص,مالی
بازی گوش بازی ساز,مازن حریری,نامشخص,کلید آموزش,‫‭978-6002746740‬‬,221000,231.0,1403.0,,1.0,رقعی,شومیز,سلام فروغیان نویسنده ایرانی متوئلد سال 1359 می‌باشد.,مالی
چگونه کمتر نگران پول باشیم,جان آرمسترانگ,آرزو احمی،,پیکان,978-9643287481,455000,667.0,1403.0,1992.0,2.0,وزیری,جلد سخت,ذن و هنر امرار معاش کتابی است که زندگی انسان را متحول می‌سازد و با ارائه دیدگاه و بینش جدیدی درباره شغل، حوزه برنامه‌ریزی حرفه‌ای را به کلی دگرگون می‌کند. از دیدگاه لارنس بولت، هر کسی هنرمند عرصه زندگی خویش است. بخش اول این کتاب درباره تشخیص کاری است که بیشترین و عمیق‌ترین رضایت را در زندگی به شما می‌بخشد؛ کشف شغلی که حقیقتا خواهان آن هستید. بخش دوم کتاب، گام‌هایی عملی و فعالانه را جهت کشف یا خلق کارتان عرضه می‌کند. علاوه بر مطالب سنتی مربوط به ارزیابی مهارت‌های شغلی و جستجوی موفقیت‌آمیز شغلی که می‌خواهید، بولت نقطه‌نظرهای مبتکرانه و راهکارهای بدیعی را به همراه ۱۲۰ برگه تمرین و بیش از ۵۰۰ نقل‌قول الهام‌بخش از حکما و عرفای تمام دوره‌ها و همه سنت‌های شرق و غرب عرضه می‌کند. ذن و هنر امرار معاش کتابی است بسیار فراتر از راهنمای شغلی صرف و خلاقیت و عزت و معنا را به تمام جوانب تجربه کاری شما وارد می‌سازد. این کتاب راهنمای اساسی بقا در قرن بیست و یکم است.,مالی
The Black Swan,نسیم نیکلاس طالب,نامشخص,Dia Book,250-0110315837,152000,156.0,1403.0,2010.0,1.0,رقعی,شومیز,"""Bed of Procrustes"" مجموعه‌ای از کلمات قصار نسیم نیکلاس طالب، متفکر مشهور و نویسنده‌ی ""قوی سیاه""، ""ضدشکنندگی"" و ""پوست در بازی"" است. برخلاف دیگر آثار او که تحلیل‌های دقیق را با روایت‌های داستانی ترکیب می‌کنند، این کتاب فلسفه‌ی طالب را در قالب گزاره‌هایی مختصر و تأمل‌برانگیز ارائه می‌دهد. این عبارات بینش او را درباره‌ی تصادفی بودن، عدم‌قطعیت، ریسک، خرد و تمایل دنیای مدرن به تحریف واقعیت برای انطباق با چارچوب‌های سفت و سخت، آشکار می‌کنند - درست همان‌طور که پروکروستس، راهزن اساطیری یونان، قربانیان خود را برای جا گرفتن در تخت آهنی‌اش یا کش می‌داد یا می‌برید.
ساختار این کتاب مجموعه‌ای از کلمات قصار است که در بخش‌های موضوعی تنظیم شده‌اند و موضوعاتی همچون دانش، تصادفی بودن، موفقیت، قدرت، اخلاق و انعطاف‌پذیری فردی را پوشش می‌دهند. برخی از این عبارات طنزآمیزند، برخی دیگر عمیقا فلسفی، و بسیاری تناقضات مدرنیته را آشکار می‌کنند. یکی از موضوعات کلیدی ""توهم دانش"" است. طالب، اعتماد بیش از حد روشنفکران و سیاست‌گذارانی را که گمان می‌کنند می‌توانند جهان را با نظریه‌های سفت و سخت مهار کنند، نقد می‌کند. او نسبت به افرادی که اعتبارنامه‌ها را با خرد اشتباه می‌گیرند هشدار داده و خوانندگان را به شک‌ورزی در برابر روایت‌های کلانی که تصادف و پیچیدگی را نادیده می‌گیرند، تشویق می‌کند. موضوع دیگر ""غیرقابل پیش‌بینی بودن زندگی"" است. طالب به خوانندگان یادآوری می‌کند که مهم‌ترین رویدادها - چه مطلوب و چه ناگوار - معمولا غیرمنتظره هستند. به جای تلاش برای حذف عدم‌قطعیت، او پذیرش آن را توصیه کرده و از انعطاف‌پذیری به جای کنترل‌گری حمایت می‌کند. کتاب همچنین به بررسی ""عقل عملی و هنر زیستن"" می‌پردازد. طالب با اقتباس از فلسفه‌های رواقی و شرقی، استدلال می‌کند که سادگی، فروتنی و مسئولیت‌پذیری شخصی به زندگی‌ای بهتر از پیچیدگی‌های مصنوعی و جاه‌طلبی‌های بی‌پایه منجر می‌شود. کلمات قصار او خوانندگان را به تمرکز بر ضروریات، پرهیز از خودفریبی و پرورش استقلال فردی ترغیب می‌کنند.
یکی از موضوعات کلیدی ""عدم‌تطابق بین واقعیت و ساختارهای انسانی"" است. طالب نشان می‌دهد که جامعه‌ی مدرن افراد را مجبور می‌کند تا در قالب‌های مصنوعی جا بگیرند، دقیقا مانند تخت پروکروستس که واقعیت را برای انطباق با چارچوب‌های ساده‌سازی‌شده، تحریف می‌کرد. او شیوه‌ای را نقد می‌کند که در آن، علم، اقتصاد و ساختارهای اجتماعی اغلب از پذیرش ماهیت غیرقابل‌پیش‌بینی زندگی سر باز می‌زنند. موضوع دیگر ""ضدشکنندگی"" است، مفهومی که طالب در آثار بعدی خود به تفصیل بررسی می‌کند. او پیشنهاد می‌کند که سیستم‌ها، افراد و جوامعی که تصادفی بودن و ریسک را می‌پذیرند، در طول زمان قوی‌تر می‌شوند، درحالی‌که آن‌هایی که از هرگونه ناراحتی یا عدم‌قطعیت اجتناب می‌کنند، شکننده خواهند شد.
""Bed of Procrustes"" اثری تأمل‌برانگیز و گاه طنزآمیز است که مفروضات مدرن را به چالش می‌کشد. این کتاب به‌عنوان ابزاری فلسفی برای پیمایش در عدم‌قطعیت، نقد تفکر سفت‌وسخت و پذیرش پیچیدگی‌های زندگی عمل می‌کند. چه در یک نوبت خوانده شود و چه به‌مرور مورد بازبینی قرار گیرد، این کتاب خردی بی‌زمان را برای خوانندگانی ارائه می‌دهد که در جستجوی وضوح در دنیایی غیرقابل‌پیش‌بینی هستند.",مالی
بازاریابی خدمات مالی و مشتری مداری,سپیده عرب,نامشخص,اندیشه احسان,‫‭978-6225451568‬‬,460000,238.0,1403.0,,1.0,رقعی,شومیز,اثربخشی تبلیغات درست فرهنگی مقوله‌ای است که غفلت از آن به هزینه‌کرد و گاه نقش‌آفرینی معکوسی می‌انجامد. شناخت مسائل و مشکلات اعتقادی و رفتاری و تلاش برای شکل‌گیری زیست فرهنگی جامعه و اصلاح عقاید و رفتارهای نادرست اجتماعی از اهداف محوری برگزاری نمایشگاه کتاب است و بر این مبنا تبلیغات جمع‌گرا وجه غالب تبلیغات فرهنگی است، اگرچه به نیازها و ویژگی‌های فردی و اختصاصی مخاطبین نیز نباید بی‌توجهی شود. بنابراین در فرآیند تولید و ساخت تبلیغات فرهنگی توجه به این نکته حائز اهمیت است که یک پیام تبلیغی بر اساس کدام ضرورت و هدف تدوین می‌گردد و بر مبنای کدام عوامل محیطی و کدام مخاطب شکل می‌یابد. با توجه به تأثیر و تأثر متقابل فرهنگ و تبلیغات و تغییرات مثبت و منفی که با گذر زمان در عرصه فضا و ظرفیت‌های تبلیغاتی ایجاد می‌شود، حفظ و حراست از آرمان‌ها و اصالت‌های ارزش‌های فرهنگی امری لازم است و اثربخشی تبلیغات نیز منوط به توجه همزمان به آن تغییر و تحول و این تعالی و تداوم است.,مالی
فوت و فن های فروش و جذب مشتری,سجاد فرج الهی,نامشخص,عبارت,978-6229078662,85000,105.0,1403.0,,1.0,جیبی,شومیز,فروشندگی یک هنر است. هنری تلفیق شده از مهارت‌های گوناگون و بایدها و نبایدهایی که فروشنده را برای برقراری ارتباط موثر با مشتریان یاری کرده و کمک می‌کند تا با درک صحیح نیازهای مشتریان آنها را برای خرید محصولات خود تشویق و ترغیب کند. در این کتاب به ۹۵ نکته مهمی اشاره شده که هر فروشنده‌ای برای حرفه‌ای شدن و بهبود عملکرد خود به آن نیاز مبرم دارد. در صورتی که فروشنده این نکات را رعایت کرده و به درستی مورد استفاده قرار دهد فروشندگی برای او به شغلی جذاب و پر درآمد تبدیل خواهد شد.,مالی
اصول تنظیم و کنترل بودجه,داود یوسفوند,نامشخص,نگارستان اندیشه,‫‭978-6225273771‬‬,127500,207.0,1403.0,,1.0,وزیری,شومیز,در یک پروژه آموزشی-تحقیقاتی، که از بهار سال ۱۳۸۰ آغاز شد و تا پاییز سال ۱۳۸۸ ادامه یافت، موسسه تحقیقات و توسعه علوم‌انسانی با هدف پاسخ‌گویی به احتیاجات فکری و بهبود منابع مطالعاتی معتبر در حوزه علوم‌انسانی و اجتماعی فصلنامه تخصصی فرهنگ اندیشه را منتشر می‌کرد. این فصلنامه در هر شماره با یک سردبیر اختصاصی یک موضوع را در قالب پرونده‌ای پژوهشی مشتمل بر ده مقاله تألیفی و ترجمه‌ای به مخاطبان عرضه می‌کرد. هدف اصلی از انتشار این فصلنامه، بحث و گفتگو درباره چالش‌های پیشرو در جامعه ایران و ارائه راهکارهای عملی و نظری در این عرصه بود؛ لذا با گذشت بیش از یک دهه از توقف انتشار آن، همچنان مباحث و مقالات منتشر شده در آن محل رجوع و استفاده پژوهشگران است. ازاین‌رو شمارگان سابق نشریه در قالب کتاب مجددا بازنشر شده تا به‌این‌ترتیب دسترسی به مطالب آن برای علاقه‌مندان تسهیل گردد. کتاب «خصوصی‌سازی در ایران» در واقع شماره هفدهم فصلنامه فرهنگ اندیشه بوده که در بهار سال ۱۳۸۵ به سردبیری دکتر احمد می‌دری در موضوع مباحث و معضلات خصوصی‌سازی در ایران منتشر شده بود. موضوع خصوصی‌سازی که از دولت اول هاشمی رفسنجانی در فضای حاکمیتی ایران مطرح شد، همواره با نقدها و چالش‌های بسیاری مواجه بوده که هنوز نیز بخشی از آن‌ها باقی است. دوگانه «واگذاری شرکت‌های دولتی به بخش خصوصی» یا «رفع موانع بخش خصوصی برای توسعه» یکی از مهم‌ترین مباحثی است که در رشد بخش خصوصی مطرح بوده و هست. مقالات موجود در این کتاب با طرح این مباحث و همچنین سایر مسائل مربوط به خصوصی‌سازی، در تلاش‌اند تا با تبیین دقیق این مفهوم و بررسی نحوه ظهور آن در نظام سیاسی_اقتصادی ایران، پیچیدگی‌های مربوط به خصوصی‌سازی و چگونگی عملکرد آن را برای خوانندگان روشن نموده و نظرات سنجیده خود را در رابطه‌ با این پدیده بیان کنند. مطالعه این کتاب می‌تواند برای تمامی دانشجویان و علاقه‌مندان علوم‌انسانی بسیار مفید و لذت‌بخش باشد.,مالی
استروئیدها,مجموعه ی نویسندگان,نامشخص,حتمی,978-6003558816,167300,288.0,1403.0,,1.0,رقعی,شومیز,"این کتاب بر نقش کارآفرینی در زمینه ورزش با بررسی ماهیت و ابزارهای موثر در این حوزه و چگونگی بهره برداری از فرصت‌های موجود در ورزش، که می‌توان از آن‌ها به طور موثر استفاده کرد، تمرکز دارد.
کتاب پیش رو برای سازمان‌های ورزشی، دانشگاه‌ها و دانشکده‌های ورزش، ورزشکاران، دانشجویان، کارآفرینان، محققان، مدیران ورزشی و سازمان‌های دولتی که استفاده از کارآفرینی را برای ایجاد مزیت‌های رقابتی در بازار ترویج می‌کنند، مفید خواهد بود.",مالی
